Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00329,THOR ABLESTAR D,110,1961-06-29,2018-11-20,14:56:44.073,7394.964,0.01115,66.7816,10.332,31.542,135.061,105.48,934.408,1099.250,US,Unknown,Unknown,
00330,THOR ABLESTAR D,111,1961-06-29,2018-11-21,8:1:49.927,7264.659,0.00488,66.9810,309.439,24.208,335.901,102.70,851.048,921.999,US,Unknown,Unknown,
00333,THOR ABLESTAR D,115,1961-06-29,2018-11-20,22:26:4.383,7080.765,0.00615,66.7139,225.754,246.763,113.348,98.83,659.075,746.184,US,Unknown,Unknown,
00334,THOR ABLESTAR D,116,1961-06-29,2018-11-20,16:55:-0.480,7302.435,0.00852,66.9252,69.005,298.911,61.198,103.50,862.082,986.518,US,Unknown,Unknown,
00335,THOR ABLESTAR D,117,1961-06-29,2018-11-20,21:56:32.938,7213.440,0.00352,66.8427,351.352,51.722,308.388,101.62,809.891,860.720,US,Unknown,Unknown,
00336,THOR ABLESTAR D,118,1961-06-29,2018-11-20,23:16:12.420,7383.535,0.00824,67.0285,156.637,311.307,198.461,105.23,944.545,1066.255,US,Unknown,Unknown,
00337,THOR ABLESTAR D,120,1961-06-29,2018-11-20,8:27:48.915,7362.202,0.00980,67.0087,322.743,88.929,271.178,104.78,911.893,1056.241,US,Unknown,Unknown,
00340,TELSTAR 1,1,1962-07-10,2018-11-20,16:11:58.551,9670.851,0.24230,44.8016,65.886,44.013,106.216,157.75,949.437,5635.995,US,Comm,Unknown,
00341,DELTA 1 R/B,2,1962-07-10,2018-11-20,9:25:49.710,9661.231,0.24211,44.7933,336.290,146.136,347.571,157.51,944.047,5622.145,US,Unknown,Unknown,
00350,THOR ABLESTAR D,121,1961-06-29,2018-11-20,19:10:38.151,7201.239,0.01218,66.9124,101.181,83.176,276.934,101.36,735.388,910.820,US,Unknown,Unknown,
00351,THOR ABLESTAR D,122,1961-06-29,2018-11-20,19:57:33.362,7094.293,0.00413,66.7508,117.398,279.171,80.940,99.11,686.872,745.444,US,Unknown,Unknown,
